sample	dir	lane	rep	fq1	fq2
UF_Derv_005_GCCAAT	Sample_UF_Derv_005	L007	003	UF_Derv_005_GCCAAT_L007_R1_003.fastq.gz	UF_Derv_005_GCCAAT_L007_R2_003.fastq.gz
UF_Derv_005_GCCAAT	Sample_UF_Derv_005	L007	004	UF_Derv_005_GCCAAT_L007_R1_004.fastq.gz	UF_Derv_005_GCCAAT_L007_R2_004.fastq.gz
UF_Derv_005_GCCAAT	Sample_UF_Derv_005	L008	001	UF_Derv_005_GCCAAT_L008_R1_001.fastq.gz	UF_Derv_005_GCCAAT_L008_R2_001.fastq.gz
UF_Derv_005_GCCAAT	Sample_UF_Derv_005	L008	002	UF_Derv_005_GCCAAT_L008_R1_002.fastq.gz	UF_Derv_005_GCCAAT_L008_R2_002.fastq.gz
UF_Derv_005_GCCAAT	Sample_UF_Derv_005	L008	003	UF_Derv_005_GCCAAT_L008_R1_003.fastq.gz	UF_Derv_005_GCCAAT_L008_R2_003.fastq.gz
UF_Derv_005_GCCAAT	Sample_UF_Derv_005	L008	004	UF_Derv_005_GCCAAT_L008_R1_004.fastq.gz	UF_Derv_005_GCCAAT_L008_R2_004.fastq.gz
UF_Derv_006_CAGATC	Sample_UF_Derv_006	L007	001	UF_Derv_006_CAGATC_L007_R1_001.fastq.gz	UF_Derv_006_CAGATC_L007_R2_001.fastq.gz
UF_Derv_006_CAGATC	Sample_UF_Derv_006	L007	002	UF_Derv_006_CAGATC_L007_R1_002.fastq.gz	UF_Derv_006_CAGATC_L007_R2_002.fastq.gz
UF_Derv_006_CAGATC	Sample_UF_Derv_006	L007	003	UF_Derv_006_CAGATC_L007_R1_003.fastq.gz	UF_Derv_006_CAGATC_L007_R2_003.fastq.gz
UF_Derv_006_CAGATC	Sample_UF_Derv_006	L007	004	UF_Derv_006_CAGATC_L007_R1_004.fastq.gz	UF_Derv_006_CAGATC_L007_R2_004.fastq.gz
UF_Derv_006_CAGATC	Sample_UF_Derv_006	L008	001	UF_Derv_006_CAGATC_L008_R1_001.fastq.gz	UF_Derv_006_CAGATC_L008_R2_001.fastq.gz
UF_Derv_006_CAGATC	Sample_UF_Derv_006	L008	002	UF_Derv_006_CAGATC_L008_R1_002.fastq.gz	UF_Derv_006_CAGATC_L008_R2_002.fastq.gz
UF_Derv_006_CAGATC	Sample_UF_Derv_006	L008	003	UF_Derv_006_CAGATC_L008_R1_003.fastq.gz	UF_Derv_006_CAGATC_L008_R2_003.fastq.gz
UF_Derv_006_CAGATC	Sample_UF_Derv_006	L008	004	UF_Derv_006_CAGATC_L008_R1_004.fastq.gz	UF_Derv_006_CAGATC_L008_R2_004.fastq.gz
UF_Derv_007_ACTTGA	Sample_UF_Derv_007	L007	001	UF_Derv_007_ACTTGA_L007_R1_001.fastq.gz	UF_Derv_007_ACTTGA_L007_R2_001.fastq.gz
UF_Derv_007_ACTTGA	Sample_UF_Derv_007	L007	002	UF_Derv_007_ACTTGA_L007_R1_002.fastq.gz	UF_Derv_007_ACTTGA_L007_R2_002.fastq.gz
UF_Derv_007_ACTTGA	Sample_UF_Derv_007	L007	003	UF_Derv_007_ACTTGA_L007_R1_003.fastq.gz	UF_Derv_007_ACTTGA_L007_R2_003.fastq.gz
UF_Derv_007_ACTTGA	Sample_UF_Derv_007	L007	004	UF_Derv_007_ACTTGA_L007_R1_004.fastq.gz	UF_Derv_007_ACTTGA_L007_R2_004.fastq.gz
UF_Derv_007_ACTTGA	Sample_UF_Derv_007	L007	005	UF_Derv_007_ACTTGA_L007_R1_005.fastq.gz	UF_Derv_007_ACTTGA_L007_R2_005.fastq.gz
UF_Derv_007_ACTTGA	Sample_UF_Derv_007	L008	001	UF_Derv_007_ACTTGA_L008_R1_001.fastq.gz	UF_Derv_007_ACTTGA_L008_R2_001.fastq.gz
UF_Derv_007_ACTTGA	Sample_UF_Derv_007	L008	002	UF_Derv_007_ACTTGA_L008_R1_002.fastq.gz	UF_Derv_007_ACTTGA_L008_R2_002.fastq.gz
UF_Derv_007_ACTTGA	Sample_UF_Derv_007	L008	003	UF_Derv_007_ACTTGA_L008_R1_003.fastq.gz	UF_Derv_007_ACTTGA_L008_R2_003.fastq.gz
UF_Derv_007_ACTTGA	Sample_UF_Derv_007	L008	004	UF_Derv_007_ACTTGA_L008_R1_004.fastq.gz	UF_Derv_007_ACTTGA_L008_R2_004.fastq.gz
UF_Derv_008_CTTGTA	Sample_UF_Derv_008	L007	001	UF_Derv_008_CTTGTA_L007_R1_001.fastq.gz	UF_Derv_008_CTTGTA_L007_R2_001.fastq.gz
UF_Derv_008_CTTGTA	Sample_UF_Derv_008	L007	002	UF_Derv_008_CTTGTA_L007_R1_002.fastq.gz	UF_Derv_008_CTTGTA_L007_R2_002.fastq.gz
UF_Derv_008_CTTGTA	Sample_UF_Derv_008	L007	003	UF_Derv_008_CTTGTA_L007_R1_003.fastq.gz	UF_Derv_008_CTTGTA_L007_R2_003.fastq.gz
UF_Derv_008_CTTGTA	Sample_UF_Derv_008	L007	004	UF_Derv_008_CTTGTA_L007_R1_004.fastq.gz	UF_Derv_008_CTTGTA_L007_R2_004.fastq.gz
UF_Derv_008_CTTGTA	Sample_UF_Derv_008	L007	005	UF_Derv_008_CTTGTA_L007_R1_005.fastq.gz	UF_Derv_008_CTTGTA_L007_R2_005.fastq.gz
UF_Derv_008_CTTGTA	Sample_UF_Derv_008	L008	001	UF_Derv_008_CTTGTA_L008_R1_001.fastq.gz	UF_Derv_008_CTTGTA_L008_R2_001.fastq.gz
UF_Derv_008_CTTGTA	Sample_UF_Derv_008	L008	002	UF_Derv_008_CTTGTA_L008_R1_002.fastq.gz	UF_Derv_008_CTTGTA_L008_R2_002.fastq.gz
UF_Derv_008_CTTGTA	Sample_UF_Derv_008	L008	003	UF_Derv_008_CTTGTA_L008_R1_003.fastq.gz	UF_Derv_008_CTTGTA_L008_R2_003.fastq.gz
UF_Derv_009_CCGTCC	Sample_UF_Derv_009	L007	001	UF_Derv_009_CCGTCC_L007_R1_001.fastq.gz	UF_Derv_009_CCGTCC_L007_R2_001.fastq.gz
UF_Derv_009_CCGTCC	Sample_UF_Derv_009	L007	002	UF_Derv_009_CCGTCC_L007_R1_002.fastq.gz	UF_Derv_009_CCGTCC_L007_R2_002.fastq.gz
UF_Derv_009_CCGTCC	Sample_UF_Derv_009	L007	003	UF_Derv_009_CCGTCC_L007_R1_003.fastq.gz	UF_Derv_009_CCGTCC_L007_R2_003.fastq.gz
UF_Derv_009_CCGTCC	Sample_UF_Derv_009	L007	004	UF_Derv_009_CCGTCC_L007_R1_004.fastq.gz	UF_Derv_009_CCGTCC_L007_R2_004.fastq.gz
UF_Derv_009_CCGTCC	Sample_UF_Derv_009	L007	005	UF_Derv_009_CCGTCC_L007_R1_005.fastq.gz	UF_Derv_009_CCGTCC_L007_R2_005.fastq.gz
UF_Derv_009_CCGTCC	Sample_UF_Derv_009	L008	001	UF_Derv_009_CCGTCC_L008_R1_001.fastq.gz	UF_Derv_009_CCGTCC_L008_R2_001.fastq.gz
UF_Derv_009_CCGTCC	Sample_UF_Derv_009	L008	002	UF_Derv_009_CCGTCC_L008_R1_002.fastq.gz	UF_Derv_009_CCGTCC_L008_R2_002.fastq.gz
UF_Derv_009_CCGTCC	Sample_UF_Derv_009	L008	003	UF_Derv_009_CCGTCC_L008_R1_003.fastq.gz	UF_Derv_009_CCGTCC_L008_R2_003.fastq.gz
UF_Derv_009_CCGTCC	Sample_UF_Derv_009	L008	004	UF_Derv_009_CCGTCC_L008_R1_004.fastq.gz	UF_Derv_009_CCGTCC_L008_R2_004.fastq.gz
UF_Derv_010_GTCCGC	Sample_UF_Derv_010	L007	001	UF_Derv_010_GTCCGC_L007_R1_001.fastq.gz	UF_Derv_010_GTCCGC_L007_R2_001.fastq.gz
UF_Derv_010_GTCCGC	Sample_UF_Derv_010	L007	002	UF_Derv_010_GTCCGC_L007_R1_002.fastq.gz	UF_Derv_010_GTCCGC_L007_R2_002.fastq.gz
UF_Derv_010_GTCCGC	Sample_UF_Derv_010	L007	003	UF_Derv_010_GTCCGC_L007_R1_003.fastq.gz	UF_Derv_010_GTCCGC_L007_R2_003.fastq.gz
UF_Derv_010_GTCCGC	Sample_UF_Derv_010	L007	004	UF_Derv_010_GTCCGC_L007_R1_004.fastq.gz	UF_Derv_010_GTCCGC_L007_R2_004.fastq.gz
UF_Derv_010_GTCCGC	Sample_UF_Derv_010	L008	001	UF_Derv_010_GTCCGC_L008_R1_001.fastq.gz	UF_Derv_010_GTCCGC_L008_R2_001.fastq.gz
UF_Derv_010_GTCCGC	Sample_UF_Derv_010	L008	002	UF_Derv_010_GTCCGC_L008_R1_002.fastq.gz	UF_Derv_010_GTCCGC_L008_R2_002.fastq.gz
UF_Derv_010_GTCCGC	Sample_UF_Derv_010	L008	003	UF_Derv_010_GTCCGC_L008_R1_003.fastq.gz	UF_Derv_010_GTCCGC_L008_R2_003.fastq.gz
UF_Derv_010_GTCCGC	Sample_UF_Derv_010	L008	004	UF_Derv_010_GTCCGC_L008_R1_004.fastq.gz	UF_Derv_010_GTCCGC_L008_R2_004.fastq.gz
UF_Derv_011_AGTCAA	Sample_UF_Derv_011	L007	001	UF_Derv_011_AGTCAA_L007_R1_001.fastq.gz	UF_Derv_011_AGTCAA_L007_R2_001.fastq.gz
UF_Derv_011_AGTCAA	Sample_UF_Derv_011	L007	002	UF_Derv_011_AGTCAA_L007_R1_002.fastq.gz	UF_Derv_011_AGTCAA_L007_R2_002.fastq.gz
UF_Derv_011_AGTCAA	Sample_UF_Derv_011	L007	003	UF_Derv_011_AGTCAA_L007_R1_003.fastq.gz	UF_Derv_011_AGTCAA_L007_R2_003.fastq.gz
UF_Derv_011_AGTCAA	Sample_UF_Derv_011	L007	004	UF_Derv_011_AGTCAA_L007_R1_004.fastq.gz	UF_Derv_011_AGTCAA_L007_R2_004.fastq.gz
